meta_id;data_type;curve_name;instance_tag;date_from;date_to;destination_table;schedule;name
31;instance_series;DE Consumption MWh/h 15min Forecast;icon;;;eq_ins_consumption;3 */6 * * *;de_consumption_icon_forecast
32;instance_series;DE Consumption MWh/h 15min Forecast;gfs;;;eq_ins_consumption;3 */6 * * *;de_consumption_gfs_forecast
33;instance_series;DE Price Spot EUR/MWh H Forecast;postfix;;;eq_ins_price;3 */6 * * *;de_price_spot_postfix_forecast
34;instance_series;DE Price Spot EUR/MWh H Forecast;prefix;;;eq_ins_price;3 */6 * * *;de_price_spot_prefix_forecast
35;instance_series;DE-TenneT Wind Power Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;3 */6 * * *;de_tennet_wind_power_ecsr_production_forecast
36;instance_series;DE-TenneT Wind Power Production MWh/h 15min Forecast;ec;;;eq_ins_production;3 */6 * * *;de_tennet_wind_power_ec_production_forecast
37;instance_series;DE-TenneT Wind Power Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;3 */6 * * *;de_tennet_wind_power_iconsr_production_forecast
38;instance_series;DE-TenneT Wind Power Production MWh/h 15min Forecast;icon;;;eq_ins_production;3 */6 * * *;de_tennet_wind_power_icon_production_forecast
39;instance_series;DE-TenneT Wind Power Production MWh/h 15min Forecast;gfs;;;eq_ins_production;3 */6 * * *;de_tennet_wind_power_gfs_production_forecast
40;instance_series;DE-50Hertz Wind Power Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;3 */6 * * *;de_50hertz_wind_power_ecsr_production_forecast
41;instance_series;DE-50Hertz Wind Power Production MWh/h 15min Forecast;ec;;;eq_ins_production;3 */6 * * *;de_50hertz_wind_power_ec_production_forecast
42;instance_series;DE-50Hertz Wind Power Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;3 */6 * * *;de_50hertz_wind_power_iconsr_production_forecast
43;instance_series;DE-50Hertz Wind Power Production MWh/h 15min Forecast;icon;;;eq_ins_production;7 */6 * * *;de_50hertz_wind_power_icon_production_forecast
44;instance_series;DE-50Hertz Wind Power Production MWh/h 15min Forecast;gfs;;;eq_ins_production;7 */6 * * *;de_50hertz_wind_power_gfs_production_forecast
45;instance_series;DE-TransnetBW Wind Power Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;7 */6 * * *;de_transnetbw_wind_power_ecsr_production_forecast
46;instance_series;DE-TransnetBW Wind Power Production MWh/h 15min Forecast;ec;;;eq_ins_production;7 */6 * * *;de_transnetbw_wind_power_ec_production_forecast
47;instance_series;DE-TransnetBW Wind Power Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;7 */6 * * *;de_transnetbw_wind_power_iconsr_production_forecast
48;instance_series;DE-TransnetBW Wind Power Production MWh/h 15min Forecast;icon;;;eq_ins_production;7 */6 * * *;de_transnetbw_wind_power_icon_production_forecast
49;instance_series;DE-TransnetBW Wind Power Production MWh/h 15min Forecast;gfs;;;eq_ins_production;7 */6 * * *;de_transnetbw_wind_power_gfs_production_forecast
50;instance_series;DE-Amprion Wind Power Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;7 */6 * * *;de_amprion_wind_power_ecsr_production_forecast
51;instance_series;DE-Amprion Wind Power Production MWh/h 15min Forecast;ec;;;eq_ins_production;7 */6 * * *;de_amprion_wind_power_ec_production_forecast
52;instance_series;DE-Amprion Wind Power Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;7 */6 * * *;de_amprion_wind_power_iconsr_production_forecast
53;instance_series;DE-Amprion Wind Power Production MWh/h 15min Forecast;icon;;;eq_ins_production;7 */6 * * *;de_amprion_wind_power_icon_production_forecast
54;instance_series;DE-Amprion Wind Power Production MWh/h 15min Forecast;gfs;;;eq_ins_production;7 */6 * * *;de_amprion_wind_power_gfs_production_forecast
55;instance_series;DE-TenneT Solar Photovoltaic Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;7 */6 * * *;de_tennet_solar_power_ecsr_production_forecast
56;instance_series;DE-TenneT Solar Photovoltaic Production MWh/h 15min Forecast;ec;;;eq_ins_production;7 */6 * * *;de_tennet_solar_power_ec_production_forecast
57;instance_series;DE-TenneT Solar Photovoltaic Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;7 */6 * * *;de_tennet_solar_power_iconsr_production_forecast
58;instance_series;DE-TenneT Solar Photovoltaic Production MWh/h 15min Forecast;icon;;;eq_ins_production;7 */6 * * *;de_tennet_solar_power_icon_production_forecast
59;instance_series;DE-TenneT Solar Photovoltaic Production MWh/h 15min Forecast;gfs;;;eq_ins_production;7 */6 * * *;de_tennet_solar_power_gfs_production_forecast
60;instance_series;DE-50Hertz Solar Photovoltaic Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;13 */6 * * *;de_50hertz_solar_power_ecsr_production_forecast
61;instance_series;DE-50Hertz Solar Photovoltaic Production MWh/h 15min Forecast;ec;;;eq_ins_production;13 */6 * * *;de_50hertz_solar_power_ec_production_forecast
62;instance_series;DE-50Hertz Solar Photovoltaic Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;13 */6 * * *;de_50hertz_solar_power_iconsr_production_forecast
63;instance_series;DE-50Hertz Solar Photovoltaic Production MWh/h 15min Forecast;icon;;;eq_ins_production;13 */6 * * *;de_50hertz_solar_power_icon_production_forecast
64;instance_series;DE-50Hertz Solar Photovoltaic Production MWh/h 15min Forecast;gfs;;;eq_ins_production;13 */6 * * *;de_50hertz_solar_power_gfs_production_forecast
65;instance_series;DE-TransnetBW Solar Photovoltaic Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;13 */6 * * *;de_transnetbw_solar_power_ecsr_production_forecast
66;instance_series;DE-TransnetBW Solar Photovoltaic Production MWh/h 15min Forecast;ec;;;eq_ins_production;13 */6 * * *;de_transnetbw_solar_power_ec_production_forecast
67;instance_series;DE-TransnetBW Solar Photovoltaic Production MWh/h 15min Forecast;iconsr;;;eq_ins_production;13 */6 * * *;de_transnetbw_solar_power_iconsr_production_forecast
68;instance_series;DE-TransnetBW Solar Photovoltaic Production MWh/h 15min Forecast;icon;;;eq_ins_production;13 */6 * * *;de_transnetbw_solar_power_icon_production_forecast
69;instance_series;DE-TransnetBW Solar Photovoltaic Production MWh/h 15min Forecast;gfs;;;eq_ins_production;13 */6 * * *;de_transnetbw_solar_power_gfs_production_forecast
70;instance_series;DE-Amprion Solar Photovoltaic Production MWh/h 15min Forecast;ecsr;;;eq_ins_production;13 */6 * * *;de_amprion_solar_power_ecsr_production_forecast
71;instance_series;DE-Amprion Solar Photovoltaic Production MWh/h 15min Forecast;ec;;;eq_ins_production;13 */6 * * *;de_amprion_solar_power_ec_production_forecast
