"id","func_type","country_code","country_code_from","country_code_to","date_from","date_to","destination_table","schedule","name"
1,load_actual,AT,,,-1440,4320,entsoe_load_data,"7 * * * *",AT_load_actual
21,load_forecast,NO_1,,,-4320,4320,entsoe_load_data,"10 6 * * *",NO_1_load_forecast
2,load_actual,DK_1,,,-1440,4320,entsoe_load_data,"7 * * * *",DK_1_load_actual
4,load_actual,FR,,,-1440,4320,entsoe_load_data,"7 * * * *",FR_load_actual
5,load_actual,NL,,,-1440,4320,entsoe_load_data,"7 * * * *",NL_load_actual
37,wind_and_solar_forecasts,CZ,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",CZ_wind_and_solar_forecasts
6,load_actual,PL,,,-1440,4320,entsoe_load_data,"7 * * * *",PL_load_actual
7,load_actual,BE,,,-1440,4320,entsoe_load_data,"7 * * * *",BE_load_actual
8,load_actual,NO_1,,,-1440,4320,entsoe_load_data,"7 * * * *",NO_1_load_actual
9,load_actual,DK_2,,,-1440,4320,entsoe_load_data,"7 * * * *",DK_2_load_actual
22,load_forecast,DK_2,,,-4320,4320,entsoe_load_data,"10 6 * * *",DK_2_load_forecast
28,wind_and_solar_forecasts,DK_1,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",DK_1_wind_and_solar_forecasts
32,wind_and_solar_forecasts,PL,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",PL_wind_and_solar_forecasts
33,wind_and_solar_forecasts,BE,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",BE_wind_and_solar_forecasts
34,wind_and_solar_forecasts,NO_1,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",NO_1_wind_and_solar_forecasts
40,intraday_wind_and_solar_forecast,AT,,,-1440,4320,entsoe_wind_and_solar_data,"13 * * * *",AT_intraday_wind_and_solar_forecast
15,load_forecast,DK_1,,,-4320,4320,entsoe_load_data,"10 6 * * *",DK_1_load_forecast
17,load_forecast,FR,,,-4320,4320,entsoe_load_data,"10 6 * * *",FR_load_forecast
11,load_actual,CZ,,,-1440,4320,entsoe_load_data,"7 * * * *",CZ_load_actual
41,intraday_wind_and_solar_forecast,DK_1,,,-1440,4320,entsoe_wind_and_solar_data,"13 * * * *",DK_1_intraday_wind_and_solar_forecast
43,intraday_wind_and_solar_forecast,FR,,,-1440,4320,entsoe_wind_and_solar_data,"13 * * * *",FR_intraday_wind_and_solar_forecast
44,intraday_wind_and_solar_forecast,NL,,,-1440,4320,entsoe_wind_and_solar_data,"13 * * * *",NL_intraday_wind_and_solar_forecast
45,intraday_wind_and_solar_forecast,PL,,,-1440,4320,entsoe_wind_and_solar_data,"13 * * * *",PL_intraday_wind_and_solar_forecast
46,intraday_wind_and_solar_forecast,BE,,,-1440,4320,entsoe_wind_and_solar_data,"13 * * * *",BE_intraday_wind_and_solar_forecast
3,load_actual,DE_LU,,,-14400,4320,entsoe_load_data,*/15 * * * *,DE_LU_load_actual
23,load_forecast,NO_2,,,-4320,4320,entsoe_load_data,"10 6 * * *",NO_2_load_forecast
35,wind_and_solar_forecasts,DK_2,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",DK_2_wind_and_solar_forecasts
12,load_actual,DE,,,-14400,4320,entsoe_load_data,*/15 * * * *,DE_load_actual
16,load_forecast,DE_LU,,,-14400,4320,entsoe_load_data,"10 6 * * *",DE_LU_load_forecast
42,intraday_wind_and_solar_forecast,DE_LU,,,-1440,4320,entsoe_wind_and_solar_data,*/15 * * * *,DE_LU_intraday_wind_and_solar_forecast
18,load_forecast,NL,,,-4320,4320,entsoe_load_data,"10 6 * * *",NL_load_forecast
19,load_forecast,PL,,,-4320,4320,entsoe_load_data,"10 6 * * *",PL_load_forecast
24,load_forecast,CZ,,,-4320,4320,entsoe_load_data,"10 6 * * *",CZ_load_forecast
26,load_forecast,CH,,,-4320,4320,entsoe_load_data,"10 6 * * *",CH_load_forecast
38,wind_and_solar_forecasts,DE,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",DE_wind_and_solar_forecasts
39,wind_and_solar_forecasts,CH,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",CH_wind_and_solar_forecasts
25,load_forecast,DE,,,-14400,4320,entsoe_load_data,"10 6 * * *",DE_load_forecast
27,wind_and_solar_forecasts,AT,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",AT_wind_and_solar_forecasts
29,wind_and_solar_forecasts,DE_LU,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",DE_LU_wind_and_solar_forecasts
30,wind_and_solar_forecasts,FR,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",FR_wind_and_solar_forecasts
31,wind_and_solar_forecasts,NL,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",NL_wind_and_solar_forecasts
36,wind_and_solar_forecasts,NO_2,,,-4320,4320,entsoe_wind_and_solar_data,"11 6 * * *",NO_2_wind_and_solar_forecasts
14,load_forecast,AT,,,-4320,4320,entsoe_load_data,"10 6 * * *",AT_load_forecast
20,load_forecast,BE,,,-4320,4320,entsoe_load_data,"10 6 * * *",BE_load_forecast
